kepid;kepoi_name;kepler_name;koi_disposition;koi_score;koi_fpflag_nt;koi_fpflag_ss;koi_fpflag_co;koi_fpflag_ec;koi_period;koi_impact;koi_duration;koi_depth;koi_prad;koi_teq;koi_insol;koi_model_snr;koi_steff;koi_slogg;koi_srad;ra;dec;koi_kepmag
5475712;K06588.01;;FALSE POSITIVE;0;0;1;0;0;2.991884392;0.496;7.5583;123880;40.11;1486;1154.88;1280.3;6596;4.4;1.094;298.57382;40.676601;13.28
5479973;K06589.01;;FALSE POSITIVE;0;0;1;0;0;1.795273026;0.935;7.3232;125420;55.26;1642;1714.88;877.8;6363;4.456;1.012;299.38046;40.694759;14.889
5513822;K06590.01;;FALSE POSITIVE;;0;0;1;1;0.755109271;0.4041;2.619;23.2;0.47;1961;3494.52;12.9;5606;4.39;0.962;284.32294;40.71521;13.292
5513833;K06591.01;;FALSE POSITIVE;0;1;0;1;1;0.755101141;0.523;3.371;76.7;0.19;680;50.92;13.4;3256;5.071;0.207;284.33002;40.736401;15.237
6471229;K06719.01;;FALSE POSITIVE;0;0;0;0;1;1.75251585;0.738;3.489;125.9;1.02;1447;1035.27;14.2;5952;4.554;0.844;299.16608;41.863049;13.978
6471230;K06720.01;;FALSE POSITIVE;0;0;0;1;1;1.752450163;0.728;3.0255;55.5;0.79;1552;1372.36;3.4;5779;4.364;0.99;299.16617;41.861912;13.294
6521174;K06721.01;;FALSE POSITIVE;0;0;0;1;0;8.27923132;0.187;2.355;164.9;1.08;815;104.49;10.9;5631;4.557;0.847;291.42236;41.978939;15.197
6521542;K06722.01;;FALSE POSITIVE;0;0;1;0;0;2.212877035;0.518;4.66961;376200;69.18;1507;1221.98;2731;6153;4.405;1;291.52811;41.915958;14.28
6522353;K06723.01;;FALSE POSITIVE;0.001;0;0;1;0;0.845097627;0.717;1.873;86.5;0.78;1584;1496.92;10.7;5252;4.593;0.783;291.79865;41.963551;15.685
6522750;K06724.01;;FALSE POSITIVE;0;0;1;0;0;17.44564047;0.588;6.08966;334160;63.46;682;51.15;4093.9;5759;4.481;0.945;291.92892;41.956371;11.23
6523216;K06725.01;;FALSE POSITIVE;0;0;1;0;0;14.31315739;0.004;8.90236;21567;34.98;1144;404.48;4262.9;5750;3.703;2.379;292.08383;41.915031;13.254
6531485;K06726.01;;FALSE POSITIVE;0;0;1;0;0;0.676990194;1.223;1.69459;20506;37.5;1919;3192.15;997;5813;4.568;0.816;294.58789;41.914261;15.553
6531801;K06727.01;;FALSE POSITIVE;;1;0;0;0;0.515875396;0.95;1.21;1773;7.22;3189;24441.1;9.1;7229;4.278;1.38;294.67725;41.90464;13.591
7281356;K06853.01;;FALSE POSITIVE;;1;0;0;0;2.83401711;0.2794;5.938;84.2;0.93;1381;859.57;11.5;6247;4.458;1.002;291.56744;42.856178;15.036
7281399;K06854.01;;FALSE POSITIVE;0;1;0;0;1;0.566803996;0.123;3.399;141.6;0.64;1350;786.1;23.4;4373;4.722;0.544;291.58347;42.830051;15.989
7281410;K06855.01;;FALSE POSITIVE;;0;0;0;1;0.56681118;;2.06;;;;;;;;;291.58682;42.890133;11.58
7281616;K06856.01;;FALSE POSITIVE;0;1;0;0;1;0.566799927;0.188;4.71;145.1;0.77;1649;1738.27;28.9;5092;4.671;0.645;291.64725;42.861191;15.888
7281699;K06857.01;;FALSE POSITIVE;0;1;0;0;1;0.566786121;0.591;3.404;81.8;0.79;1984;3678.65;14;5603;4.556;0.846;291.68314;42.884411;15.768
7282008;K06858.01;;FALSE POSITIVE;0;1;0;1;1;0.56679797;0.176;4.503;72.6;0.65;1799;2467.38;14;5230;4.594;0.777;291.77713;42.845871;15.877
7285616;K06859.01;;FALSE POSITIVE;0;0;0;1;1;0.566802891;0.628;1.861;49.2;1.29;3111;22107.66;14.4;6487;4.08;1.748;292.91879;42.850082;12.982
8178616;K06984.01;;FALSE POSITIVE;;0;0;0;1;1.01884975;0.2737;3.233;30.9;0.47;1754;2238.64;14.8;6068;4.568;0.829;296.06284;44.018822;13.948
8183389;K06986.01;;FALSE POSITIVE;0;0;1;0;0;32.4403392;0.645;4.50984;287600;44.56;448;9.52;2177;5081;4.578;0.696;297.3703;44.09877;15.854
8192861;K06987.01;;FALSE POSITIVE;;1;0;1;0;0.552141897;1.091;4.985;105.6;10.04;2206;5602.43;42.8;5952;4.486;0.904;299.71408;44.037189;13.866
8193315;K06988.01;;FALSE POSITIVE;0;0;1;0;0;2.62387291;0.49;4.61248;232470;74.23;1790;2430.91;2607.6;6728;4.206;1.46;299.82968;44.040359;13.7
8195877;K06989.01;;FALSE POSITIVE;0;1;0;0;0;0.75509861;1.091;2.6423;60334;60.74;2359;7285.15;385.4;6038;4.206;1.213;300.5683;44.029549;13.441
8196180;K06990.01;;FALSE POSITIVE;0;1;0;0;0;3.671661096;0.923;4.29947;129240;105.82;1967;3539.43;3152.6;7343;4.02;1.94;300.63577;44.053398;12.814
8210721;K06991.01;;FALSE POSITIVE;0;0;1;0;0;22.67314568;0.605;6.6324;65411;30.92;684;51.67;912;5619;4.269;1.153;281.0105;44.15377;14.274
8977176;K07119.01;;FALSE POSITIVE;;1;0;0;0;0.50948306;0.3535;3.14;74.6;1.22;3024;19778.63;8;6344;4.091;1.39;298.87738;45.203979;13.545
9001468;K07120.01;;FALSE POSITIVE;0;0;1;0;0;17.32996587;0.705;8.43812;252720;42.58;548;21.34;1938.7;5079;4.588;0.683;282.76163;45.398521;15.2
9005854;K07121.01;;FALSE POSITIVE;0;0;1;0;0;1.890227354;0.957;3.855;112260;42.05;1236;551.66;252;5356;4.589;0.78;285.03131;45.380451;15.569
9007918;K07122.01;;FALSE POSITIVE;0;0;1;0;0;1.387206724;0.856;3.82527;151430;103.41;2619;11126.98;1752.6;7207;4.06;1.894;286.00845;45.35603;11.658
9007953;K07123.01;;FALSE POSITIVE;0;0;0;1;1;1.38718209;0.28;2.595;45.5;0.68;1707;2011.41;7.2;6122;4.471;0.996;286.0213;45.343681;14.718
9024857;K07124.01;;FALSE POSITIVE;0;0;1;0;0;35.02656485;0.777;2.90121;120250;34.88;489;13.56;1607.2;5546;4.575;0.81;292.87848;45.344372;15.496
9029486;K07126.01;;FALSE POSITIVE;0;0;1;0;0;3.138580493;0.619;4.16343;233340;59.24;1281;635.61;2387.8;5593;4.311;1.083;294.47293;45.389721;13.63
9906802;K07250.01;;FALSE POSITIVE;;1;0;0;0;9.26147679;;1.77;;;;;;;;;297.61273;46.738949;14.874
9906841;K07251.01;;FALSE POSITIVE;;1;0;0;0;581.0723;88.7243;15.81;1364.2;161858;639;39.36;15.9;5026;2.504;16.891;297.62296;46.75386;12.282
9913481;K07253.01;;FALSE POSITIVE;0;0;1;0;0;3.50474265;1.049;8.2852;88625;200.24;2689;12355.55;977.2;7624;3.622;3.682;299.58655;46.765541;10.862
